anio,flujo,grano,socio_cod,cap_cod,valor_usd
2016,Exportacion,capitulo,,90,2597993267.0
2016,Exportacion,capitulo,,91,441089.0
2016,Exportacion,capitulo,,92,168652.0
2016,Exportacion,capitulo,,93,150.0
2016,Exportacion,capitulo,,94,47408305.0
2016,Exportacion,capitulo,,95,25310969.0
2016,Exportacion,capitulo,,86,2656046.0
2016,Exportacion,capitulo,,96,128009318.0
2016,Exportacion,capitulo,,99,1.0
2016,Exportacion,capitulo,,97,568230.0
2016,Importacion,capitulo,,8,98454398.0
2016,Importacion,capitulo,,7,60250916.0
2016,Importacion,capitulo,,6,13745869.0
2016,Importacion,capitulo,,5,4828722.0
2016,Importacion,capitulo,,4,53864949.0
2016,Importacion,capitulo,,3,81055390.0
2016,Importacion,capitulo,,10,296089782.0
2016,Importacion,capitulo,,11,43667594.0
